FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Class
79,2019-05-24,Falcon 9,13200.0,VLEO,CCSFS SLC 40,Success,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
80,2019-06-12,Falcon 9,1425.0,SSO,VAFB SLC 4E,Success,2,True,True,True,5e9e3032383ecb554034e7c9,,,,1
82,2019-07-25,Falcon 9,2227.7,ISS,CCSFS SLC 40,Success,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
83,2019-08-06,Falcon 9,6500.0,GTO,CCSFS SLC 40,Failure,3,False,True,False,,,,,0
84,2019-11-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
85,2019-12-05,Falcon 9,5000.0,ISS,CCSFS SLC 40,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
86,2019-12-17,Falcon 9,6800.0,GTO,CCSFS SLC 40,Success,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
87,2020-01-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
88,2020-01-19,Falcon 9,8191.079109589042,SO,KSC LC 39A,Failure,4,False,True,False,,,,,0
89,2020-01-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
90,2020-02-17,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Failure,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,0
91,2020-03-07,Falcon 9,1977.0,ISS,CCSFS SLC 40,Success,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
92,2020-03-18,Falcon 9,15600.0,VLEO,KSC LC 39A,Failure,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,0
93,2020-04-22,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
94,2020-05-30,Falcon 9,9525.0,ISS,KSC LC 39A,Success,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,1
95,2020-06-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
96,2020-06-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
97,2020-06-30,Falcon 9,3880.0,MEO,CCSFS SLC 40,Success,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,1
98,2020-07-20,Falcon 9,8191.079109589042,GEO,CCSFS SLC 40,Success,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
100,2020-08-18,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
101,2020-08-30,Falcon 9,1600.0,SSO,CCSFS SLC 40,Success,4,True,True,True,5e9e3032383ecb267a34e7c7,,,,1
102,2020-09-03,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
103,2020-10-06,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
104,2020-10-18,Falcon 9,15600.0,VLEO,KSC LC 39A,Success,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,1
105,2020-10-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,Success,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,1
